GAME_ID,EVENT_ID,INN_CT,TOTAL_INN,HOME_TEAM,OUTS_CT,HOME_SCORE_CT,AWAY_SCORE_CT,RUNNER_FIRST,RUNNER_SECOND,RUNNER_THIRD,PIT_ID,FULL_NAME,made_save,IP,sit_id,succ_rate,save_dif,year
CLE201109201,69,9,9,1,0,4,3,0,0,0,perec002,Chris Perez,True,1.0,090101.0,95.2,1.050420168067227,2011
CLE201109202,73,8,9,0,1,4,5,1,0,0,salec001,Chris Sale,True,1.67,081111.67,72.2,1.3850415512465373,2011
CLE201109242,77,9,9,1,0,7,6,0,0,0,perec002,Chris Perez,True,1.0,090101.0,95.2,1.050420168067227,2011
CLE201109250,79,10,10,0,0,4,6,0,0,0,nathj001,Joe Nathan,True,1.0,100201.0,96.2,1.0395010395010396,2011
CLE201204070,64,9,12,0,0,2,3,0,0,0,sants001,Sergio Santos,False,1.0,090101.0,95.2,-20.833333333333346,2012
CLE201204080,71,9,9,1,0,4,3,0,0,0,perec002,Chris Perez,True,1.0,090101.0,95.2,1.050420168067227,2012
CLE201204090,75,9,9,0,0,1,4,0,0,0,santh001,Hector Santiago,True,1.0,090301.0,99.2,1.0080645161290323,2012
CLE201204240,80,9,9,1,0,4,2,0,0,0,perec002,Chris Perez,True,1.0,090201.0,97.3,1.027749229188078,2012
CLE201204260,78,9,9,0,0,2,4,0,0,0,broxj001,Jonathan Broxton,True,1.0,090201.0,97.3,1.027749229188078,2012
CLE201204280,68,9,9,0,0,1,2,0,0,0,downs001,Scott Downs,True,1.0,090101.0,95.2,1.050420168067227,2012
CLE201205040,69,9,9,1,0,6,3,0,0,0,perec002,Chris Perez,True,1.0,090301.0,99.2,1.0080645161290323,2012
CLE201205050,87,11,11,0,0,2,5,0,0,0,nathj001,Joe Nathan,True,1.0,110301.0,86.2,1.160092807424594,2012
CLE201205060,72,9,9,1,0,4,2,0,0,0,perec002,Chris Perez,True,1.0,090201.0,97.3,1.027749229188078,2012
CLE201205071,78,9,9,1,0,8,6,1,0,0,hagan001,Nick Hagadone,True,1.0,090211.0,97.3,1.027749229188078,2012
CLE201205072,69,9,9,1,0,3,2,0,0,0,sippt001,Tony Sipp,True,1.0,090101.0,95.2,1.050420168067227,2012
CLE201205080,67,8,10,0,0,0,3,1,1,0,salec001,Chris Sale,False,1.0,080321.0,45.5,-1.834862385321101,2012
CLE201205080,88,10,10,0,0,3,5,0,0,0,reeda001,Addison Reed,True,1.0,100201.0,96.2,1.0395010395010396,2012
CLE201205180,72,9,9,0,0,2,3,0,0,0,bellh001,Heath Bell,True,1.0,090101.0,95.2,1.050420168067227,2012
CLE201205190,61,9,9,1,0,2,0,0,0,0,perec002,Chris Perez,True,1.0,090201.0,97.3,1.027749229188078,2012
CLE201205220,83,9,9,1,0,5,3,0,0,0,perec002,Chris Perez,True,1.0,090201.0,97.3,1.027749229188078,2012
CLE201205230,71,9,9,1,0,4,2,0,0,0,perec002,Chris Perez,True,1.0,090201.0,97.3,1.027749229188078,2012
CLE201205240,67,9,9,1,0,2,1,0,0,0,perec002,Chris Perez,True,1.0,090101.0,95.2,1.050420168067227,2012
CLE201205280,75,9,9,1,0,8,5,0,0,0,perec002,Chris Perez,True,1.0,090301.0,99.2,1.0080645161290323,2012
CLE201205300,88,9,9,0,0,3,6,0,0,0,broxj001,Jonathan Broxton,True,1.0,090301.0,99.2,1.0080645161290323,2012
CLE201206020,76,9,9,0,0,4,7,0,0,0,cappm001,Matt Capps,True,1.0,090301.0,99.2,1.0080645161290323,2012
CLE201206030,78,9,9,0,0,3,6,0,0,0,cappm001,Matt Capps,True,1.0,090301.0,99.2,1.0080645161290323,2012
CLE201206150,70,9,9,1,0,2,0,0,0,0,perec002,Chris Perez,True,1.0,090201.0,97.3,1.027749229188078,2012
CLE201206180,76,9,9,1,0,10,8,0,0,0,perec002,Chris Perez,True,1.0,090201.0,97.3,1.027749229188078,2012
CLE201207020,67,8,9,0,0,0,3,1,1,0,downs001,Scott Downs,True,2.0,080322.0,45.5,2.197802197802198,2012
CLE201207050,63,9,9,1,0,3,1,0,0,0,perec002,Chris Perez,True,1.0,090201.0,97.3,1.027749229188078,2012
CLE201207080,83,9,9,0,0,6,7,0,0,0,rodnf001,Fernando Rodney,True,1.0,090101.0,95.2,1.050420168067227,2012
CLE201207210,65,9,9,0,0,1,3,0,0,0,johnj010,Jim Johnson,True,1.0,090201.0,97.3,1.027749229188078,2012
CLE201207230,66,9,9,1,0,3,1,0,0,0,perec002,Chris Perez,True,1.0,090201.0,97.3,1.027749229188078,2012
CLE201207240,71,9,9,1,0,3,2,0,0,0,perec002,Chris Perez,True,1.0,090101.0,95.2,1.050420168067227,2012
CLE201207250,75,9,9,0,0,2,5,0,0,0,valvj001,Jose Valverde,True,1.0,090301.0,99.2,1.0080645161290323,2012
CLE201207260,69,9,9,1,0,5,3,0,0,0,perec002,Chris Perez,True,1.0,090201.0,97.3,1.027749229188078,2012
CLE201208090,78,9,9,1,0,5,3,0,0,0,perec002,Chris Perez,True,1.0,090201.0,97.3,1.027749229188078,2012
CLE201208110,65,9,9,1,0,5,2,0,0,0,perec002,Chris Perez,True,1.0,090301.0,99.2,1.0080645161290323,2012
CLE201208240,69,9,9,0,0,1,3,0,0,0,sorir001,Rafael Soriano,True,1.0,090201.0,97.3,1.027749229188078,2012
CLE201208250,66,9,9,1,0,3,1,0,0,0,perec002,Chris Perez,True,1.0,090201.0,97.3,1.027749229188078,2012
CLE201208260,72,8,9,0,2,2,4,1,0,0,sorir001,Rafael Soriano,True,1.33,082211.33,91.7,1.0905125408942202,2012
CLE201208270,64,9,9,0,0,0,3,0,0,0,balfg001,Grant Balfour,True,1.0,090301.0,99.2,1.0080645161290323,2012
CLE201208290,74,8,9,0,2,4,6,0,0,1,cookr001,Ryan Cook,True,1.33,082211.33,91.7,1.0905125408942202,2012
CLE201209010,61,8,9,1,2,4,3,1,0,0,pestv001,Vinnie Pestano,True,1.33,082111.33,88.6,1.1286681715575622,2012
CLE201209150,76,9,9,0,0,3,5,0,0,0,valvj001,Jose Valverde,True,1.0,090201.0,97.3,1.027749229188078,2012
CLE201209160,60,7,9,1,0,5,3,0,0,0,smitj002,Joe Smith,False,1.0,070201.0,50.0,-2.0,2012
CLE201209180,52,6,12,0,0,2,3,1,1,1,duenb001,Brian Duensing,False,3.0,060133.0,33.3,-1.4992503748125936,2012
CLE201209180,105,12,12,0,0,4,6,0,0,0,perkg001,Glen Perkins,True,1.0,120201.0,85.7,1.1668611435239207,2012
CLE201209190,79,9,9,0,0,4,6,0,0,0,perkg001,Glen Perkins,True,1.0,090201.0,97.3,1.027749229188078,2012
CLE201209280,82,9,9,1,0,8,5,0,0,0,perec002,Chris Perez,True,1.0,090301.0,99.2,1.0080645161290323,2012
CLE201209290,80,9,14,0,0,4,6,0,0,0,hollg001,Greg Holland,False,1.0,090201.0,97.3,-37.037037037036995,2012
CLE201209290,124,14,14,0,0,6,7,0,0,0,herrk001,Kelvin Herrera,True,1.0,140101.0,85.7,1.1668611435239207,2012
CLE201304140,67,9,9,0,0,1,3,0,0,0,reeda001,Addison Reed,True,1.0,090201.0,97.3,1.027749229188078,2013
CLE201304170,80,9,9,0,0,3,6,0,0,0,baila001,Andrew Bailey,True,1.0,090301.0,99.2,1.0080645161290323,2013
CLE201304180,73,9,9,0,0,3,6,0,0,0,baila001,Andrew Bailey,True,1.0,090301.0,99.2,1.0080645161290323,2013
CLE201305030,66,7,10,1,2,5,4,1,0,0,allec002,Cody Allen,False,1.33,072111.33,50.0,-2.0,2013
CLE201305030,74,8,10,0,0,5,6,0,0,0,burtj001,Jared Burton,False,1.0,080101.0,29.4,-1.41643059490085,2013
CLE201305050,71,9,9,0,0,1,4,0,0,0,perkg001,Glen Perkins,True,1.0,090301.0,99.2,1.0080645161290323,2013
CLE201305070,61,9,9,1,0,1,0,0,0,0,perec002,Chris Perez,True,1.0,090101.0,95.2,1.050420168067227,2013
CLE201305080,68,9,9,1,0,4,3,0,0,0,perec002,Chris Perez,True,1.0,090101.0,95.2,1.050420168067227,2013
CLE201305132,46,6,9,0,0,0,1,0,0,0,warra001,Adam Warren,True,4.0,060104.0,33.3,3.0030030030030033,2013
CLE201305170,48,6,10,1,0,3,1,1,0,0,hillr001,Rich Hill,False,1.33,060211.33,33.3,-1.4992503748125936,2013
CLE201305200,36,4,10,1,0,5,4,0,1,1,albem001,Matt Albers,False,2.0,040122.0,14.3,-1.1668611435239207,2013
CLE201305200,68,8,10,1,0,6,5,0,0,0,pestv001,Vinnie Pestano,False,1.0,080101.0,29.4,-1.41643059490085,2013
CLE201305310,52,7,9,0,0,2,5,0,0,0,ramoc001,Cesar Ramos,True,3.0,070303.0,50.0,2.0,2013
CLE201306150,64,8,9,1,0,6,5,0,0,0,smitj002,Joe Smith,False,1.0,080101.0,29.4,-1.41643059490085,2013
CLE201306150,76,9,9,0,0,6,7,0,0,0,sorir001,Rafael Soriano,True,1.0,090101.0,95.2,1.050420168067227,2013
CLE201306160,64,9,9,1,0,2,0,0,0,0,pestv001,Vinnie Pestano,True,1.0,090201.0,97.3,1.027749229188078,2013
CLE201306170,75,9,9,0,0,1,2,0,0,0,hollg001,Greg Holland,True,1.0,090101.0,95.2,1.050420168067227,2013
CLE201306180,69,9,9,1,0,4,3,0,0,0,pestv001,Vinnie Pestano,True,1.0,090101.0,95.2,1.050420168067227,2013
CLE201306220,83,9,9,1,0,8,5,0,0,0,pestv001,Vinnie Pestano,True,1.0,090301.0,99.2,1.0080645161290323,2013
CLE201307070,83,9,9,1,0,9,6,0,0,0,perec002,Chris Perez,True,1.0,090301.0,99.2,1.0080645161290323,2013
